R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
213,112,C,GT,eMC Vision,eMotorsport Racing Team,40.063,47.14%,42.11%,38.89%,34.29%,22.50%,,,
214,113,D,GT,DMSjake83,DMS eSports Ford,39.928,55.00%,38.46%,33.33%,29.41%,22.14%,,,
215,114,B,GT,OSM Aerith,OSM Racing Black,39.748,69.23%,25.00%,7.89%,,,,,
216,102,C,P,CBL KNN98,Cheese Burger League Racing,39.595,47.06%,41.94%,34.68%,32.35%,,,,
217,115,C,GT,RVN Barricade,Raven Racing II,39.347,47.50%,47.06%,37.14%,30.77%,30.77%,3.57%,,
218,103,C,P,FTC Sakura,FTC Ilford-Porsche,39.134,47.06%,46.77%,41.18%,0.00%,,,,
219,104,C,P,AliceRT,Autoholic Virgin Racing,38.842,52.42%,38.24%,25.81%,,,,,
220,105,C,P,FreeL4ncer9801,SFM Competizione,38.638,67.65%,32.35%,27.27%,24.24%,23.39%,15.15%,,
221,116,C,GT,XI Rydog IX,HYR Roy Millward Motorsport,38.526,62.50%,28.21%,13.51%,,,,,
222,117,D,GT,ll MrKhepri,Team Sakura Retrocrushes 1.5,38.520,46.15%,37.50%,35.90%,34.21%,31.43%,,,
223,118,C,GT,JohNixe,DNFX skill issued,38.327,47.37%,43.24%,27.50%,,,,,
224,106,C,P,AMS Phantom,AMS Astro,38.099,61.76%,31.25%,27.27%,26.67%,12.90%,,,
225,119,B,GT,LCR Apex,Team LCR,37.875,51.28%,43.59%,27.14%,7.50%,,,,
226,107,D,P,LR BLAZER GUNZ,SFM Jag-war,37.867,58.82%,41.18%,32.26%,31.25%,23.53%,21.77%,12.50%,
227,108,D,P,Xenocity9793,SFM Jag-war,37.745,58.82%,26.47%,,,,,,
228,109,C,P,AMS Andrew14,AMS Astro,37.487,61.76%,29.41%,25.00%,24.24%,22.58%,,,
229,120,C,GT,HYR Bookey,HYR Roy Millward Motorsport,37.360,62.50%,17.65%,,,,,,
230,110,C,P,NWR Birchy7,NWR Proto,36.852,47.06%,36.36%,35.29%,33.33%,25.00%,18.55%,,
231,111,D,P,TheSakuraShark,Local Line,36.124,41.18%,37.50%,35.29%,35.29%,19.35%,,,
232,121,B,GT,HYR Drryden,HYR Luxsim24 Racing,36.029,67.50%,2.56%,,,,,,
233,112,C,P,NWR Shadow,NWR Proto,35.712,41.18%,41.18%,35.29%,28.23%,12.50%,,,
234,122,D,GT,EVR Rewar,Evolve Racing,35.658,42.50%,42.11%,30.71%,16.67%,,,,
235,113,C,P,APEX KIMI7,APEX Driving School - PRO,35.612,43.33%,35.48%,33.33%,32.35%,20.59%,,,
236,114,B,P,AMS Murks,AMS LPG 212,35.454,51.52%,35.29%,11.76%,,,,,
237,115,C,P,CBL Feiniu,Cheese Burger League Racing,35.323,47.06%,38.24%,29.41%,24.24%,14.52%,,,
238,123,D,GT,FreshCubanBread,Team Sakura Retrocrushes 1.5,34.613,37.50%,35.90%,35.29%,33.33%,25.00%,,,
239,124,D,GT,PHOENlX 8,Porsche Team PaINske,34.416,45.00%,38.24%,23.08%,20.51%,,,,
240,125,D,GT,zrolizac,Porsche Team PaINske,34.016,45.00%,36.43%,23.68%,20.51%,,,,
241,126,D,GT,DMS Chris17,DMS eSports Ford,33.697,55.00%,26.32%,23.08%,22.22%,20.71%,,,
242,127,D,GT,FraughtMeteor8,1HOR,33.422,41.03%,40.00%,28.95%,21.43%,15.63%,,,
243,128,D,GT,Aspect114915,1HOR,33.258,40.00%,40.00%,22.22%,,,,,
244,116,C,P,Tact1calFall0ut,VER Very Legal,33.257,50.00%,37.10%,29.41%,9.09%,3.13%,,,
245,117,B,P,ZR Gallardo,Zephyrus Purple,33.223,60.48%,5.88%,,,,,,
246,118,D,P,X3art rastaX,team 3art E-sport 1,33.197,64.71%,20.97%,19.35%,17.65%,6.25%,,,
247,129,C,GT,eMC Rags,eMotorsport Racing Team,33.166,53.85%,29.29%,22.50%,0.00%,,,,
248,130,D,GT,Jabingus,1HOR,32.782,40.00%,39.47%,24.32%,17.14%,,,,
249,131,C,GT,AFz Maverick,Skill Issue Crew,32.701,40.54%,35.00%,27.86%,25.64%,21.88%,,,
250,132,C,GT,PTG Brains,PTG Ninjersey,32.680,41.03%,34.21%,28.21%,20.00%,,,,
251,133,C,GT,KingOfTwlght,Big Schnoz: One Last Dance,32.540,38.89%,35.14%,32.14%,27.78%,10.00%,,,
252,134,C,GT,Bloodracer12,Raven Racing II,32.489,47.50%,46.15%,5.26%,2.14%,,,,
